,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
92310,207191,0,Cash loans,F,N,Y,0,157500.0,526491.0,23188.5,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00702,-15946,-102,-13331.0,-5029,,1,1,1,1,1,0,Laborers,2.0,2,2,FRIDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.5353394108528496,0.6578082225375466,0.6801388218428291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2632.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
92338,207222,0,Cash loans,M,N,N,0,67500.0,283419.0,8721.0,234000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.031329,-20099,365243,-2134.0,-3270,,1,0,0,1,0,0,,2.0,2,2,SATURDAY,15,0,0,0,0,0,0,XNA,,0.7247944220898852,0.6023863442690867,0.0165,0.0,0.9796,0.7212,0.0019,0.0,0.069,0.0417,0.0833,,0.0134,0.0144,0.0,0.0,0.0168,0.0,0.9796,0.7321,0.0019,0.0,0.069,0.0417,0.0833,,0.0147,0.015,0.0,0.0,0.0167,0.0,0.9796,0.7249,0.0019,0.0,0.069,0.0417,0.0833,,0.0137,0.0147,0.0,0.0,,block of flats,0.0113,"Stone, brick",No,2.0,0.0,2.0,0.0,-1720.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
92386,207277,0,Cash loans,M,Y,N,2,225000.0,518562.0,23562.0,463500.0,Unaccompanied,Working,Higher education,Married,With parents,0.009175,-13034,-631,-6493.0,-4005,4.0,1,1,0,1,0,0,,4.0,2,2,FRIDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.4217820769874618,0.6479616091378922,0.4489622731076524,0.0845,,0.9911,,,0.08,0.069,0.375,,,,0.0609,,,0.0861,,0.9911,,,0.0806,0.069,0.375,,,,0.0634,,,0.0854,,0.9911,,,0.08,0.069,0.375,,,,0.062,,,,block of flats,0.0772,Monolithic,No,0.0,0.0,0.0,0.0,-908.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
92489,207399,0,Cash loans,F,N,Y,0,112500.0,648000.0,20475.0,648000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-15250,-1661,-3144.0,-4065,,1,1,0,1,0,0,Cooking staff,2.0,2,2,WEDNESDAY,9,0,1,1,0,1,1,Self-employed,0.3955150235103455,0.3890007864313662,0.2594676548211199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
92609,207538,0,Cash loans,F,Y,N,0,117000.0,450000.0,30204.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.04622,-19658,-4720,-11516.0,-2487,3.0,1,1,0,1,0,0,,1.0,1,1,MONDAY,17,0,0,0,0,0,0,Business Entity Type 1,0.7820656812457921,0.7030293274914626,0.470456116119975,0.1856,0.1259,0.9841,,,0.2,0.1724,0.3333,,,,0.183,,,0.1891,0.1307,0.9841,,,0.2014,0.1724,0.3333,,,,0.1906,,,0.1874,0.1259,0.9841,,,0.2,0.1724,0.3333,,,,0.1863,,,,block of flats,0.1782,Panel,No,0.0,0.0,0.0,0.0,-1826.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
92717,207655,0,Cash loans,F,N,N,0,157500.0,1436850.0,38034.0,1125000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.02461,-15705,-730,-3156.0,-4686,,1,1,0,1,0,0,Core staff,2.0,2,2,FRIDAY,11,0,0,0,0,0,0,Self-employed,0.6775199357879368,0.5697553099960082,0.6642482627052363,0.0619,0.0608,0.9796,0.7212,0.0078,0.0,0.1379,0.1667,0.2083,0.0467,0.0504,0.0603,0.0,0.0,0.063,0.0631,0.9796,0.7321,0.0078,0.0,0.1379,0.1667,0.2083,0.0477,0.0551,0.0628,0.0,0.0,0.0625,0.0608,0.9796,0.7249,0.0078,0.0,0.1379,0.1667,0.2083,0.0475,0.0513,0.0614,0.0,0.0,,block of flats,0.0497,Panel,No,4.0,0.0,4.0,0.0,-1771.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
92817,207772,0,Revolving loans,F,N,N,0,202500.0,202500.0,10125.0,202500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,0.072508,-14880,-2044,-7100.0,-4161,,1,1,0,1,0,0,Cleaning staff,2.0,1,1,FRIDAY,14,0,0,0,0,0,0,Construction,,0.6797406912595289,0.6212263380626669,0.1969,0.1001,0.9826,,,0.32,0.1379,0.4583,,0.0,,0.1898,,0.0022,0.2006,0.1039,0.9826,,,0.3222,0.1379,0.4583,,0.0,,0.1978,,0.0024,0.1988,0.1001,0.9826,,,0.32,0.1379,0.4583,,0.0,,0.1932,,0.0023,,block of flats,0.1498,Panel,No,0.0,0.0,0.0,0.0,-344.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
92880,207846,0,Cash loans,F,N,Y,0,112500.0,675000.0,32472.0,675000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.0105,-18441,-508,-10629.0,-1985,,1,1,0,1,0,0,Laborers,2.0,3,3,MONDAY,11,0,0,0,0,0,0,Transport: type 4,,0.6386741767078266,0.8106180215523969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1928.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
92988,207978,0,Cash loans,F,N,N,0,94500.0,343800.0,13090.5,225000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.005084,-21550,365243,-4912.0,-4972,,1,0,0,1,1,0,,2.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,XNA,0.8149597451620251,0.3161730562542823,0.3706496323299817,0.0423,,0.9925,,,0.0,0.069,0.1667,,,,0.0444,,0.0562,0.0431,,0.9926,,,0.0,0.069,0.1667,,,,0.0463,,0.0595,0.0427,,0.9925,,,0.0,0.069,0.1667,,,,0.0452,,0.0574,,block of flats,0.0472,Panel,No,0.0,0.0,0.0,0.0,-469.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
93094,208096,0,Cash loans,F,N,N,0,112500.0,284400.0,10345.5,225000.0,Unaccompanied,State servant,Secondary / secondary special,Civil marriage,House / apartment,0.01885,-17560,-8405,-9879.0,-1109,,1,1,0,1,0,0,Laborers,2.0,2,2,FRIDAY,15,0,0,0,0,0,0,Medicine,,0.7409263037438747,0.5884877883422673,0.0299,0.0118,0.9762,0.6736,,0.0,0.0862,0.0417,,0.021,0.024,0.0144,0.0019,0.0165,0.0168,0.0,0.9742,0.6602,,0.0,0.069,0.0417,,0.0151,0.0147,0.0143,0.0,0.0036,0.0302,0.0118,0.9762,0.6779999999999999,,0.0,0.0862,0.0417,,0.0214,0.0244,0.0147,0.0019,0.0169,,block of flats,0.0172,"Stone, brick",No,1.0,1.0,1.0,1.0,-2663.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
93620,208715,0,Cash loans,F,Y,Y,0,202500.0,452745.0,26122.5,409500.0,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,0.035792,-23739,365243,-9532.0,-4312,3.0,1,0,0,1,0,0,,1.0,2,2,WEDNESDAY,17,0,0,0,0,0,0,XNA,0.6844101246457189,0.5964233793044784,0.7544061731797895,0.0412,0.0448,0.9762,0.6736,0.0034,0.0,0.069,0.1667,0.2083,0.0432,0.0303,0.033,0.0154,0.0261,0.042,0.0465,0.9762,0.6864,0.0034,0.0,0.069,0.1667,0.2083,0.0442,0.0331,0.0344,0.0156,0.0276,0.0416,0.0448,0.9762,0.6779999999999999,0.0034,0.0,0.069,0.1667,0.2083,0.0439,0.0308,0.0336,0.0155,0.0266,reg oper account,block of flats,0.0316,"Stone, brick",No,0.0,0.0,0.0,0.0,-1910.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,6.0
93704,208810,0,Cash loans,F,N,N,0,112500.0,808650.0,23643.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,0.04622,-20783,365243,-8944.0,-4312,,1,0,0,1,0,0,,1.0,1,1,MONDAY,13,0,0,0,0,0,0,XNA,0.7261783752280768,0.6856570508033694,0.6769925032909132,0.0278,0.0462,0.9856,0.8028,,0.0,0.1034,0.0833,0.125,0.0269,0.0227,0.0262,0.0,0.0,0.0284,0.048,0.9856,0.8105,,0.0,0.1034,0.0833,0.125,0.0275,0.0248,0.0273,0.0,0.0,0.0281,0.0462,0.9856,0.8054,,0.0,0.1034,0.0833,0.125,0.0274,0.0231,0.0267,0.0,0.0,reg oper account,block of flats,0.0206,Panel,No,3.0,0.0,3.0,0.0,-1731.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
93974,209130,0,Cash loans,M,Y,N,0,135000.0,254700.0,20119.5,225000.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.0060079999999999,-14418,-2320,-11722.0,-2234,3.0,1,1,0,1,1,0,Laborers,2.0,2,2,FRIDAY,18,0,0,0,0,1,1,Business Entity Type 3,0.1219625285806549,0.6821209536272256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-241.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
94169,209347,0,Cash loans,F,N,N,0,90000.0,675000.0,19737.0,675000.0,Family,Working,Higher education,Single / not married,House / apartment,0.018209,-18778,-6829,-1131.0,-1149,,1,1,1,1,0,0,Core staff,1.0,3,3,TUESDAY,12,0,0,0,0,0,0,Other,0.6802255072304619,0.4394431289565172,0.5954562029091491,0.0835,0.0557,0.9757,0.6668,0.0245,0.0,0.1379,0.1667,0.2083,0.0797,0.0664,0.0608,0.0077,0.0069999999999999,0.0851,0.0578,0.9757,0.6798,0.0248,0.0,0.1379,0.1667,0.2083,0.0816,0.0725,0.0633,0.0078,0.0074,0.0843,0.0557,0.9757,0.6713,0.0247,0.0,0.1379,0.1667,0.2083,0.0811,0.0676,0.0618,0.0078,0.0071,reg oper account,block of flats,0.0627,"Stone, brick",No,0.0,0.0,0.0,0.0,-736.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
94251,209439,1,Revolving loans,F,N,Y,1,112500.0,180000.0,9000.0,180000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.025164,-9592,-574,-9556.0,-2018,,1,1,1,1,1,0,Sales staff,2.0,2,2,WEDNESDAY,13,0,0,0,0,0,0,Business Entity Type 3,0.1602389403917819,0.2429082582627993,,0.268,0.0,0.9791,0.7144,0.0582,0.2,0.1724,0.3333,0.375,0.0534,0.2135,0.2242,0.0232,0.1365,0.2731,0.0,0.9791,0.7256,0.0587,0.2014,0.1724,0.3333,0.375,0.0546,0.2332,0.2336,0.0233,0.1445,0.2706,0.0,0.9791,0.7182,0.0585,0.2,0.1724,0.3333,0.375,0.0543,0.2172,0.2282,0.0233,0.1394,reg oper spec account,block of flats,0.2378,"Stone, brick",No,0.0,0.0,0.0,0.0,-140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
94333,209532,0,Revolving loans,F,N,Y,0,225000.0,900000.0,45000.0,900000.0,Family,Commercial associate,Higher education,Civil marriage,House / apartment,0.0196889999999999,-17063,-1746,-7439.0,-586,,1,1,0,1,0,0,Managers,2.0,2,2,MONDAY,17,0,0,0,0,0,0,Business Entity Type 3,0.8585724860465382,0.1708866032731086,,0.0928,0.0896,0.9771,0.6872,0.0147,0.0,0.2069,0.1667,0.2083,0.0702,0.0756,0.0874,0.0,0.0,0.0945,0.093,0.9772,0.6994,0.0149,0.0,0.2069,0.1667,0.2083,0.0718,0.0826,0.091,0.0,0.0,0.0937,0.0896,0.9771,0.6914,0.0148,0.0,0.2069,0.1667,0.2083,0.0714,0.077,0.0889,0.0,0.0,org spec account,block of flats,0.0768,Panel,No,,,,,-30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
94366,209570,0,Cash loans,M,N,Y,0,135000.0,277969.5,20142.0,229500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-13964,-2395,-4296.0,-4299,,1,1,1,1,0,0,Drivers,2.0,3,3,WEDNESDAY,4,0,0,0,0,0,0,Agriculture,,0.673434216570155,0.5316861425197883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-986.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
94549,209787,0,Cash loans,M,Y,Y,1,360000.0,1288350.0,37800.0,1125000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.00702,-14738,-3686,-4067.0,-5099,10.0,1,1,0,1,0,0,Drivers,3.0,2,2,FRIDAY,12,0,0,0,0,0,0,Transport: type 3,,0.5658163831199711,0.2970866116472028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-540.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
95170,210497,0,Cash loans,F,Y,Y,0,135000.0,1319269.5,38574.0,1152000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.020246,-21405,365243,-3704.0,-3704,22.0,1,0,0,1,1,0,,2.0,3,3,SATURDAY,9,0,0,0,0,0,0,XNA,0.4946617474478539,0.2631139113746335,0.4722533429586386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-221.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
95283,210627,0,Cash loans,M,Y,Y,0,247500.0,521280.0,28408.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.030755,-10964,-1051,-4531.0,-2773,9.0,1,1,0,1,0,0,Laborers,2.0,2,2,THURSDAY,10,0,0,0,0,1,1,Construction,0.4384249145631969,0.5824057730516338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-717.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
96983,212577,0,Cash loans,M,Y,Y,2,81000.0,679500.0,26946.0,679500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009175,-15980,-2252,-646.0,-3809,64.0,1,1,0,1,0,0,Laborers,4.0,2,2,FRIDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.4347676876166676,0.7444407984927335,0.6738300778602003,0.0928,0.1143,0.9796,0.7212,,0.0,0.2069,0.1667,0.0417,0.0671,,0.0495,,0.0,0.0945,0.1186,0.9796,0.7321,,0.0,0.2069,0.1667,0.0417,0.0686,,0.0516,,0.0,0.0937,0.1143,0.9796,0.7249,,0.0,0.2069,0.1667,0.0417,0.0683,,0.0504,,0.0,reg oper account,block of flats,0.0708,Panel,No,0.0,0.0,0.0,0.0,-1542.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
97038,212639,0,Cash loans,M,N,Y,0,157500.0,733315.5,39069.0,679500.0,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.032561,-13426,-5404,-2836.0,-2066,,1,1,0,1,1,0,,2.0,1,1,TUESDAY,21,0,0,0,0,1,1,Police,,0.6693720709451572,,0.0701,,0.9722,0.6192,0.0138,,0.1724,0.1667,,,,0.0859,,0.0374,0.0714,,0.9722,0.6341,0.014,,0.1724,0.1667,,,,0.0893,,0.0396,0.0708,,0.9722,0.6243,0.0139,,0.1724,0.1667,,,,0.0875,,0.0382,,block of flats,0.0789,"Stone, brick",No,0.0,0.0,0.0,0.0,-354.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
97153,212784,0,Cash loans,F,N,Y,0,261000.0,1006920.0,40063.5,900000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.006629,-20764,-3021,-358.0,-851,,1,1,0,1,0,0,Core staff,2.0,2,2,FRIDAY,7,0,0,0,0,0,0,Kindergarten,,0.6080257580384082,0.8327850252992314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-266.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
97402,213081,0,Cash loans,F,N,Y,1,270000.0,938304.0,50121.0,810000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.014464,-19694,-2167,-1471.0,-3188,,1,1,1,1,1,0,,3.0,2,2,FRIDAY,3,0,0,0,0,0,0,Other,,0.6575916076859755,0.7121551551910698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,2.0,-1999.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
97749,213498,0,Cash loans,F,Y,Y,0,112500.0,284400.0,16456.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-18109,-2019,-5927.0,-1661,7.0,1,1,0,1,0,0,Core staff,2.0,2,2,MONDAY,15,0,0,0,0,0,0,Kindergarten,,0.6958211591215707,0.7738956942145427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2628.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
97864,213627,0,Cash loans,F,N,N,0,157500.0,1114159.5,59481.0,1053000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-20050,-2852,-10440.0,-3454,,1,1,0,1,1,0,,2.0,2,2,SATURDAY,13,0,0,0,0,0,0,Business Entity Type 3,0.763416566537645,0.3542247319929012,0.6674577419214722,0.1897,0.0955,0.9811,0.7416,0.01,0.08,0.069,0.3333,0.375,0.0563,0.1513,0.1182,0.0154,0.0196,0.1933,0.0992,0.9811,0.7517,0.0101,0.0806,0.069,0.3333,0.375,0.0576,0.1653,0.1231,0.0156,0.0207,0.1915,0.0955,0.9811,0.7451,0.01,0.08,0.069,0.3333,0.375,0.0573,0.1539,0.1203,0.0155,0.02,reg oper account,block of flats,0.0972,Panel,No,0.0,0.0,0.0,0.0,-271.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0
97954,213732,0,Cash loans,F,N,Y,0,67500.0,152820.0,10080.0,135000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-20371,365243,-1729.0,-2592,,1,0,0,1,0,0,,2.0,2,2,WEDNESDAY,8,0,0,0,0,0,0,XNA,,0.2658918475340567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-471.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
97957,213736,0,Cash loans,F,N,Y,0,315000.0,917451.0,30321.0,792000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.016612,-10337,-595,-7673.0,-956,,1,1,0,1,1,0,Core staff,1.0,2,2,WEDNESDAY,11,0,0,0,0,0,0,Bank,0.2535845988444911,0.7239823726759189,,0.2784,0.0848,0.9821,0.7552,0.0457,0.08,0.069,0.3333,0.375,0.138,0.2269,0.1353,0.0,0.0,0.2836,0.088,0.9821,0.7648,0.0461,0.0806,0.069,0.3333,0.375,0.1412,0.2479,0.141,0.0,0.0,0.281,0.0848,0.9821,0.7585,0.046,0.08,0.069,0.3333,0.375,0.1404,0.2309,0.1377,0.0,0.0,reg oper account,block of flats,0.146,"Stone, brick",No,0.0,0.0,0.0,0.0,-1480.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
98051,213841,0,Cash loans,F,N,Y,0,180000.0,486000.0,17586.0,486000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.030755,-15169,-206,-2555.0,-4298,,1,1,0,1,1,0,Core staff,2.0,2,2,TUESDAY,17,0,0,0,1,1,0,Bank,0.719628871259793,0.74298615450346,0.4848514754962666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-2223.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
98460,214312,0,Cash loans,F,N,N,1,135000.0,553581.0,43866.0,472500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.035792,-12665,-2576,-3060.0,-5060,,1,1,0,1,0,0,Sales staff,3.0,2,2,TUESDAY,12,0,0,0,0,0,0,Self-employed,0.6416708471451645,0.7038732495696403,0.5406544504453575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2392.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
98521,214390,0,Cash loans,F,N,Y,0,81000.0,225000.0,22050.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-24817,365243,-4463.0,-4573,,1,0,0,1,1,0,,2.0,2,2,FRIDAY,10,0,0,0,0,0,0,XNA,,0.6120988939157135,0.5762088360175724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,block of flats,,,Yes,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0
98579,214457,0,Cash loans,F,N,Y,0,81000.0,365175.0,13243.5,301500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-19857,-12181,-12190.0,-3392,,1,1,0,1,0,0,,2.0,2,2,THURSDAY,9,0,0,0,0,1,1,Other,,0.6310503517459537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-614.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
